2018-04-15 09:45:24 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: username]
2018-04-15 09:45:25 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> name: pwd]
2018-04-15 09:45:25 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: loginButton]
2018-04-15 09:45:25 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:45:25 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:45:27 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: username]
2018-04-15 09:45:27 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> name: pwd]
2018-04-15 09:45:27 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: loginButton]
2018-04-15 09:45:27 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:45:27 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:45:27 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: username]
2018-04-15 09:45:29 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> name: pwd]
2018-04-15 09:45:29 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: loginButton]
2018-04-15 09:45:29 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:45:29 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:45:31 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: username]
2018-04-15 09:45:31 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> name: pwd]
2018-04-15 09:45:31 INFO  LoginPage:46 - click on login btoon[[FirefoxDriver: firefox on MAC (dac36158-76df-4f42-a4fa-688948669bdd)] -> id: loginButton]
2018-04-15 09:45:31 INFO  TC0003Multiplecredentials:37 - -----multiple end user log
2018-04-15 09:52:39 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-15 09:52:40 INFO  TC0003Multiplecredentials:25 - -----multiple user log
2018-04-15 09:52:45 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:45 INFO  TC0003Multiplecredentials:34 - -----multiple user log
2018-04-15 09:52:46 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> id: username]
2018-04-15 09:52:46 INFO  LoginPage:41 - username provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> id: username]
2018-04-15 09:52:46 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (0274510e-27a7-0645-bf81-1e4fb6aaedf6)] -> name: pwd]
2018-04-15 09:52:47 INFO  LoginPage:44 - password provided[[FirefoxDriver: firefox on MAC (c6b6a436-610f-ef40-8fc4-308a9c2ab387)] -> name: pwd]
